,molecule_chembl_id,IC50,units,smiles,pIC50
2320,CHEMBL4578569,460.0,nM,O=C(Nc1cccc(C2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1C(F)(F)F,6.337242168318426
2321,CHEMBL3589164,461.0,nM,NC(=O)c1cc(-c2ccc(Cl)c(Cl)c2)cc2c1[nH]c1ccc(C(=O)N3CCOCC3)cc12,6.336299074610352
2322,CHEMBL4217006,463.6,nM,C=CC(=O)NC1Cn2c(c(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1=C,6.3338565727084415
2323,CHEMBL4113883,469.9,nM,CC(C)(C)c1ccc(C(=O)N[C@@H]2CCCN(c3nc(C(N)=O)c(Nc4ccccn4)s3)C2)cc1,6.327994554977048
2324,CHEMBL3898115,470.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCCC2c1cc(N)ccc1Cl,6.327902142064282
2325,CHEMBL3358406,472.0,nM,CN1CCN(c2ccc(Nc3cc(-c4cccc(-n5ccc6cc(C7CC7)cc(F)c6c5=O)c4)cn(C)c3=O)nc2)CC1,6.326058001365912
2326,CHEMBL3926833,480.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1[nH]c(=O)c1cc(N)ccc12,6.318758762624412
2327,CHEMBL4241272,481.2,nM,C=CC(=O)N1CCCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.317674381332193
2328,CHEMBL3969979,490.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCC21CCN(Cc2ccccc2)CC1,6.309803919971486
2329,CHEMBL3401284,490.0,nM,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccnnc2)n1,6.309803919971486
2330,CHEMBL4873676,494.0,nM,C=CC(=O)N1CCC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)CC1,6.306273051076353
2331,CHEMBL4282745,500.0,nM,C=CC(=O)N[C@@H]1CCN(c2ncc(C(N)=O)c(N)n2)C1,6.301029995663981
2332,CHEMBL4542554,500.0,nM,O=C(Nc1cccc(C2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1F,6.301029995663981
2333,CHEMBL4869123,505.0,nM,CC#CC(=O)N1CC(c2cnn3c(C(N)=O)c(-c4ccc(Oc5ccc(F)cc5)cc4)[nH]c23)C1,6.296708621881338
2334,CHEMBL3947976,510.0,nM,NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn2c1NCC21CNC1,6.292429823902063
2335,CHEMBL3913119,515.0,nM,Cc1c(-c2ncnc3[nH]c(-c4cccc(CN5CCNCC5)c4)cc23)cccc1N1CCc2cc(C3CC3)ccc2C1=O,6.288192770958808
2336,CHEMBL4127317,518.0,nM,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,6.285670240254767
2337,CHEMBL3685424,518.0,nM,C=CC(=O)Nc1cccc(-c2nc(Nc3ccc(N4CCOCC4)c(F)c3)ncc2Cl)c1,6.285670240254767
2338,CHEMBL4100228,526.0,nM,Nc1cccc(-c2n[nH]c(NCc3c(F)cccc3Cl)n2)c1,6.279014255846261
